,0
815,"За цифровізацією — майбутнє. А цифрова грамотність — одна з важливих навичок для суспільства.     
    
У 2020 році ми створили онлайн-платформу Дія.Цифрова освіта, щоб українці безоплатно навчались цифрової грамотності. Адже за результатами соціологічного дослідження, 53% українців не мали базового рівня цифрових навичок.    
    
Ми вже зняли 75 серіалів із класними спеціалістами. І зараз на платформі навчаються понад 1,3 мільйони українців.    
  
До освітніх серіалів з цифрової грамотності ми додали необхідні в часи війни психологічні. Щоб кожен міг безоплатно отримати підтримку. Просто в смартфоні.    
    
Один з останніх — серіал «Психологічна підтримка себе та близьких для цивільних». 14 серій з порадами психологів, як впоратися зі стресом, підтримувати дітей та батьків. Кожна серія триває 4-8 хвилин.     
    
Зберігайте психологічну стійкість і дивіться серіал на Дія.Цифрова освіта."
816,Україна 2030 — найбільш вільна та цифрова країна у світі. Без бюрократії та з потужним технологічним сектором. Cashless і paperless. Саме таке майбутнє ми будуємо.
817,
818,"«Сподіваюсь, цей дрон допоможе вашій (і нашій) свободі».

З таким підписом і побажанням повної свободи від Луганських долин до Кримських вершин ми отримали «пташку» з Польщі для Армії дронів.  
    
Цей квадрокоптер має систему розпізнавання та уникнення перешкод. А також високопродуктивну камеру, яка дає змогу робити зйомку на різних швидкостях.     

Ви регулярно дронатите як найпростіші дрони, якими знімали пейзажі для домашніх архівів, так і потужніші безпілотники. Кожен з них стане в пригоді нашим захисникам на фронті.      

Дякую, що не зупиняєтеся і посилюєте нашу армію! Продовжуємо донатити і дронатити на UNITED24."
819,
820,
821,"Зв’язок та інтернет на Донеччині — буде. Передали туди нову систему Tesla Powerwall 2.

Донеччина — одне з найгарячіших місць на мапі України. Через постійні ворожі обстріли в багатьох населених пунктах інтернет та зв'язок майже відсутні. Лікарі, пожежники та рятувальники працюють у надлюдських умовах. А місцеві — не можуть поспілкуватися з рідними. 

Тепер завдяки акумуляторам Tesla Powerwall 2, які працюють на сонячній енергії, ці люди завжди будуть на зв'язку. 

На черзі — Миколаївщина. Новітні технології допоможуть нам перемогти в цій війні.

Дякую Ілону Маску та європейським міністрам цифрової трансформації за технологічну допомогу Україні."
822,"«Підтримує і чекає на рускій мір. Знає час проведення обстрілів. Його сестра — дружина сепаратиста, який воює за росію. Вони підтримують зв'язок та обмінюються інформацією щодо розташування нашої армії в місті», — пишуть нам про діяльність зрадників у чатбот єВорог. 

Ми отримали вже понад 1800 заявок про колаборантів за чотири місяці роботи чатбота. Кожна заявка ретельно перевіряється нашою командою, а потім ми передаємо їх до СБУ, яка вирішує долю любителів руского міра.

Дякую всім, хто розуміє важливість цієї справи. Якщо ви впевнені у співпраці людини з окупантами — виконайте кілька кроків:

◼️Перейдіть у чатбот єВорог
◼️Виберіть розділ Повідомити про колаборантів
◼️Вкажіть їх точну геолокацію
◼️Зробіть фото чи відео
◼️Опишіть, як саме ця людина допомагає загарбникам

Важливо не забувати про правила безпеки. Прошу вас робити фото та відео з прихованого місця, а після відправлення даних у єВорог, одразу ж видаліть усе листування із чатботом. Бережіть себе та вірте в Україну."
823,
824,"Стартувало навчання перших 150 операторів Армії дронів у школі Дронаріум.   
 
Під час навчання військові відпрацьовують справжні польотні завдання, навички маскування, розробку тактики, керування дронами. Та інші задачі, які виконуватимуть на фронті.      
 
Усе можливо завдяки вам! Дякую, що підтримуєте проєкт, донатите, відправляєте власні дрони. Разом ми створюємо сильний і ефективний технологічний фронт.  
 
Відправити власний дрон чи донат можна на UNITED24."
825,"Зустрілися з командою на щотижневій зустрічі по Дії. Зараз у нас готові до запуску близько 10 нових послуг та документів у Дії. Протягом місяця вони зʼявляться у вашому застосунку.  
 
Електронне пенсійне посвідчення та посвідка на проживання — у бета-тесті вже цього тижня. На черзі тестування військових облігацій та перших послуг єНотаріату.  
 
Невдовзі відновлюємо в застосунку «шеринг техпаспорта». Ви знову зможете в декілька кліків пошерити документ із близькою людиною, яка користується вашим авто. Нагадаю, що запустили цю послугу на Diia Summit у лютому, але через війну були вимушені тимчасово зупинити її роботу.  
 
Робимо черговий крок до міжнародної інтеграції Дії. Ваші цифрові документи в застосунку незабаром матимуть переклад англійською.  
 
Паралельно ми продовжуємо працювати над топпроєктами, які потребують великої кількості інтеграцій та ресурсів нашої команди. Але саме вони є революційними. Розповідатиму про них згодом."
826,"Українські підприємці безоплатно користуватимуться корпоративною поштою, хмарним сховищем та іншими сервісами Google Workspace.    
   
Хоча з липня Google вводить платну підписку на Google Workspace, ми домовилися про особливі умови для нашого малого і середнього бізнесу.     
   
До кінця повномасштабної війни ці сервіси будуть безоплатними.    
   
Дякую Google за регулярну допомогу та підтримку України. Раніше компанія вже надала безоплатне користування Google Workspace для українських освітян, 43 000 ноутбуків для шкіл та 15 млн доларів на допомогу Україні."
827,"Отримали перший дрон зі США. Він швидкий і витривалий. А отже, точно допоможе нашим героям із ЗСУ краще бачити ворогів. 

Дякую всім людям з-за кордону, які також розуміють важливість перемоги України та роблять у неї свій внесок. 

Долучайтеся до збору Армії дронів на UNITED24."
828,10 000 українців долучилися до тестування електронного пенсійного посвідчення в Діі.
829,400 млн грн за тиждень ви зібрали для Армії дронів проєкту UNITED24. І це тільки початок. Ми допоможемо нашим героям зі ЗСУ системно отримувати дрони для всіх ліній боротьби. Ви не уявляєте цінність свого внеску в перемогу. Дякуємо від всієї команди 🤘
830,"«Сподіваємося, наш сімейний дрон стане вам у пригоді»

Написав нам у листі Олексій з Одеси, який передав власний дрон на Армію дронів.

А разом із ним — дитячий малюнок із привітанням «Слава Україні». Раніше цей дрон знімав море, а тепер буде виконувати військові функції.

Українці вражають весь світ підтримкою наших захисників. Ви зробили традицією переказ донатів, поки п'єте ранкову каву. Чи передаєте власні дрони, які вже стали сімейними.

Дуже дякую, що підтримуєте Армію дронів. Цінуємо кожен донат, кожен дрон і побажання від вас, які ми також передаємо ЗСУ.
 
Задонатити чи передати власний дрон можна через платформу UNITED24."
831,
832,
833,"Старлінки швидко повертають зв'язок на деокуповані території. 

Українці можуть одразу телефонувати рідним, поки оператори відновлюють чи будують пошкоджені окупантами оптичні мережі. Не потрібно чекати й витрачати час на погодження та дозволи. 

На фото — с. Радинка Київської області, яке також постраждало від дій російської армії.

Окупанти діяли там за типовим сценарієм — вбивали, грабували, руйнували все на своєму шляху. Зокрема, вежі мобільного зв'язку.

Команда Vodafone встановила в Радинці Старлінк, який забезпечує зв'язком весь населений пункт.

Дякую Ілону Маску, міністрам цифрової трансформації ЄС, а також нашим партнерам USAID за Старлінки, які ми отримали."
834,"Проєкт «Армія дронів» має на меті не лише зібрати кошти на професійні військові дрони. U24 закликає передати на службу ЗСУ і звичайні безпілотники, які раніше могли фільмувати краєвиди. На користі невеликих споживчих дронів наголошує у статті для BBC News Валерій Яковенко, співзасновник української компанії DroneUA: 

«Тут важлива швидкість обміну інформацією між полем та генштабом, щоб рішення ухвалювалися практично миттєво».

Журналіст британської служби новин зібрав в одному матеріалі ключові тези про роль безпілотників у війні, яку розв’язала росія. Повна версія статті за посиланням:
https://bbc.in/3Ivxjpx

Дякуємо Крісу Валлансу за висвітлення теми.

І не забувайте про можливість долучитися до створення першої Армії дронів у світі: u24.gov.ua/uk/dronation"
835,"Щоліта вся країна чекала на одну з найбільших музичних подій року — Atlas Weekend. На фестиваль приїжджали сотні людей із різних міст та країн. Минулого року нам із дружиною вдалося потрапити на концерт улюбленого гурту Бумбокс.
 
Зараз найбільший фестиваль Atlas проведе благодійний стрім «Atlas online. раша ГУДБАЙ». Донати з якого підуть на потреби наших захисників із ЗСУ.  

10 липня ми будемо транслювати цей благодійний стрім у Дія.TV. Слухаймо класну українську музику та донатьмо на армію разом."
836,"Дія.Підпис став важливою складовою побудови цифрової держави. 

Його використовують вже понад 2,8 млн українців.

Це унікальна технологія. Один клік очима, біометрія обличчя звіряється з біометрією в реєстрі — і ви підписуєте заяву на відпустку, договір оренди чи інший документ за допомогою нейромережі та смартфона.  

Дія.Підпис — це просто та швидко. Можна не носити електронний підпис на флешці. Крім того, він зберігає історію підписання документів. Будь-коли можна швидко перевірити та знайти, що саме ви підписували.

Найзахищеніший цифровий підпис у смартфоні, який має юридичну силу. Просто й людяно, а тому за цим майбутнє. 

До речі, нещодавно Дія.Підпис переміг у номінації «Best remote identification provider» від Ukrainian Fintech Award. Цю премію вручають за вагомий внесок у розвиток української фінтех-системи."
837,"Шукаємо IT-школи для проєкту IT-Generation, щоб забезпечити якісну освіту світчерам.
 
Для нас головне, щоб навчання охоплювало роботу над реальними кейсами, постійний зв'язок із викладачами, акцент на hard і на soft skills, уроки англійської. Також серед критеріїв для шкіл — якісне викладання IT-спеціальностей не менше від 2 років, підтверджені показники щодо кількості випускників і відсотку працевлаштування, відсутність негативної репутації тощо.
 
Повний перелік критеріїв та форма для подання заявки тут.
 
Дедлайн — 21 липня. А в серпні стартуємо з набором першої 1000 студентів.

Проєкт IT Generation реалізовуємо спільно із Binance Charity та Львівським IT Кластером за підтримки USAID CEP та ПРООН за підтримки Швеції."
838,
839,
840,
841,
842,"Сьогодні перша партія дронів, які ви надіслали нам у межах Армії дронів, вже відправилася на фронт до ЗСУ!   
  
Найбільше нас вражає навіть не єдність українців у бажанні віддати свій дрон на допомогу армії, бо єдність українців вже стала легендою. А те, що ви докладаєте до дронів листи. Написані від руки. З побажанням перемоги, з описом дрона або своєю історією.

Сьогодні ми отримали такі листи від Поліни і Микити. Поліні 12 років. Микиті — 14. Поліна переживає, чи достатньо хороший її дрон, щоб наблизити перемогу України. Микита хоче працювати з нами над проєктом, щоб бути корисним. Це надзвичайно!   
  
Ми цінуємо внесок кожного з вас. Хто жертвує 10 гривень і мільйон гривень! Ми цінуємо кожний дрон, кожний лист. Кожне ваше зусилля, щоб допомогти ЗСУ!  
  
Будь ласка, не зупиняйтеся.
u24.gov.ua/dronation"
843,"Автору цього відео вдалося зняти політ ворожої ракети і надіслати нам його в чатбот єВорог.      
     
Ми продовжуємо отримувати повідомлення про техніку та особовий склад ворога. Щодня надходять сотні заявок, а чатбот єВорог вже використали понад 326 тисяч українців.      
     
Кожен з вас допомагає нашим захисникам і робить їхню роботу ефективнішою.   
  
Зараз ЗСУ потрібно більше інформації про:    
     
- бензовози;     
- скупчення чи переміщення колон техніки;     
- транспортування техніки залізницею;     
- склади з боєприпасами;     
- радіолокаційні станції;     
- позиції артилерії;     
- польові аеродроми для гвинтокрилів.     
     
Діліться чатботом з друзями і будьте обережні. Видаляйте всі фото, відео, тексти та чат з єВорогом."
844,"Запускаємо нове опитування в Дії.

Монумент «Батьківщина-мати» вважається найвищою скульптурою в Європі. Але на його щиті досі герб срср.  

Після початку повномасштабної війни процес декомунізації активізувався. Тому Міністерство культури та інформаційної політики ініціювало опитування в застосунку Дія щодо подальшої долі щита з радянським символом. 
 
Опитування триватиме два тижні. Продовжуємо будувати електронну демократію разом."
845,"Армія дронів — народний проєкт, до якого може долучитися кожен.      
     
До нас звернулись школа Дронаріум, яка навчає пілотів керувати дронами. І ми вже домовились про навчання 150 операторів! За місяць вони зможуть управляти дронами на лінії фронту і ефективно виконувати свої завдання.     
     
Навчання — важливий етап формування Армії дронів. Професійні оператори зможуть зберегти якомога більше життів військових на фронті й самі безпілотники.     
     
Уже зовсім скоро ми зможемо зібрати потужну Армію дронів, яка дасть змогу нашим захисникам контролювати всю ширину лінії фронту.      
     
Задонатити чи передати власний дрон можна на UNITED24."
846,"Вчора зустрілися з Amazon. 
 
Ще до початку війни вони почали нам надавати потужності для зберігання бекапів реєстрів. Це десятків мільйонів доларів підтримки.  
 
До речі, багато людей у компанії працюють у позаробочий час, безоплатно в проєктах підтримки України.  
 
Дуже хочу реалізувати перші проєкти впровадження штучного інтелекту в судах для прийняття рішень в рамках адміністративних порушень. Amazon має подібні кейси. І для нас це можливість.  
 
Передав Amazon нагороду від Президента та кожного з вас за підтримку нашої країни."
847,"Зібрали 76,8 млн доларів за 2 місяці роботи UNITED24.  
 
За цей час ми отримали внески з 90 країн світу. Найбільша кількість донатів надійшла з США, Німеччини, Франції, Канади, Великої Британії та України. 
 
Країни-донори самостійно обирають напрям допомоги Україні. Наприклад, пріоритетним для США стала оборона та розмінування України, для Німеччини – медична допомога. Також значна частина коштів надходить на відбудову нашої країни. 
 
Ми вже закупили необхідне обладнання та техніку для наших захисників, апарати для медиків, які рятують життя в гарячих точках. Щотижня ми публікуємо публічний звіт про витрачені кошти та забезпечили максимальну прозорість платформи.  
 
Декілька днів тому ми запустили Армію Дронів. І вже сьогодні в Лугано підписали Меморандум про співпрацю зі Світовим Конґресом Українців, який об'єднує понад 20 мільйонів українців у всьому світі. Зараз вони акумулюють свої зусилля, щоб долучити максимальну кількість людей, бізнесу, організацій та компаній для допомоги нам по Армії дронів."
848,"На Армію дронів зібрано майже 200 млн гривень! 
    
Тільки за перший день на рахунок ЗСУ надійшло понад 84,6 мільйони гривень!      
Дякую кожному, хто відправив 50 гривень чи мільйон.      
    
Круто, що до збору активно долучається бізнес. 

Понад 100 мільйонів гривень передав на Армію дронів український та британський підприємець у сфері ІТ та космічних технологій Максим Поляков. 
   
Ми також отримали підтвердження від Київської школи економіки та її американських партнерів про підтримку Армії дронів. КШЕ перерахує ще 57 мільйонів гривень. 

А на перші 64 мільйони гривень, які українці зібрали через благодійну банку в Monobank, ми вже купуємо для ЗСУ два безпілотних комплекси Warmate.     
 
Я також дякую кожному, хто надсилає нам свій дрон! Те, що українці і люди по всьому світу так підтримують ЗСУ, — дуже важливо. І повірте, кожному дрону ми радіємо. Кожен відмічаємо! Не зупиняйтеся!
    
Відправити донат чи задронатити власний дрон можна всього за декілька кліків тут."
849,"Перші українські компанії вже готові долучитися до «діджитал-лендлізу» для України. 

Одразу після презентації нашої ініціативи Digital4Freedom ми підписали меморандум з Київстар, Vodafone та Datagroup-Volia про виділення понад 400 млн грн для президентської платформи UNITED24. 

Дякую топменеджменту компаній за це важливе для країни рішення. Також дякую кожному працівнику телеком-операторів, які іноді під свист снарядів відновлюють зруйновані вишки або кабелі в полях. Саме завдяки вам Україна п‘ятий місяць залишається на зв'язку. 

Усі виділені кошти підуть на цифрові послуги, захист реєстрів та топові цифрові проєкти, які ми презентували сьогодні. Детальний звіт про використані кошти та аудит Великої четвірки обов'язково буде найближчим часом."
850,"Презентували в Лугано цифрову ініціативу Digital4Freedom.   
  
Це наше бачення найбільш вільної та цифрової країни у світі й одночасно пропозиція топтехнологічним компаніям об’єднатися для «цифрового лендлізу» нашій країні.   
  
За 2 роки Україна зробила більше в напрямі цифрової трансформації, ніж деякі європейські країни за 20 років. Ми запустили застосунок Дія, яким користуються понад 17,5 млн українців, створили перший у світі електронний паспорт, який має таку саму силу, як і паперовий, запустили унікальний податковий простір для техкомпаній Дія.City.   
                                                                                        
Під час війни цифрова інфраструктура виявилася найбільш стійкою. Ми не тільки продовжуємо безперебійну роботу, а й майже щотижня запускаємо нові послуги і будуємо зручну державу для українців.  
 
Цифровізація має стати фундаментом плану відновлення та стрімкого економічного розвитку України.   
  
У нас є чіткий план реалізації цього амбітного бачення — з конкретними проєктами, планами та термінами. Для технологічних компаній інвестиції в розвиток української діджитал інфраструктури стане унікальним кейсом.   
  
Україна стане найбільш вільною та цифровою країною у світі!"
851,"Реєструйтесь на бета-тест пенсійного посвідчення та е-посвідки в Дії.

Продовжуємо працювати над новими цифровими документами в застосунку. На черзі — пенсійне посвідчення та е-посвідка на постійне й тимчасове проживання.      
      
Українці зможуть скористатися пенсійним просто у смартфоні, а іноземцям, які перебувають в Україні, не потрібно буде носити фізичну картку.      
      
Реєструйтеся самі або допоможіть вашим батькам, друзям чи знайомим долучитися до бета-тесту новинок у Дії.    
      
Ваш фідбек допоможе нам зробити Дію ще зручнішою."
852,"Тільки в п'ятницю ми разом з Генштабом та UNITED24 анонсували Армію дронів і попросили вас «задронатити», тобто передати свій дрон на потреби ЗСУ, а вже в суботу ви відправили нам через відділення Нової пошти перших «пташок». Дякуємо кожному! Скоро усі дрони відправляться на фронт і будуть допомагати нашим захисникам.  
 
Якщо ваш квадрокоптер готовий боронити українську землю та оберігати наших військових, якщо він відповідає заданим параметрам, відправляйте його в Армію дронів.  
 
Дізнатися подробиці та задронатити можна тут: u24.gov.ua/dronation"
853,"Нещодавно писав про паблік-ток з мільярдером Бренсоном у київському метро. Ми говорили про майбутнє України після перемоги, лідерство під час війни, роль українського бізнесу і велику ідею, яка має надихнути та обʼєдати наш народ.  

Нашу розмову вже можна подивитися на YouTube."
854,"Хочу поділитися з вами результатами першої доби зборів на Армію дронів. 

Ми отримали не тільки мільйони гривень донатів на безпілотники для повітряної розвідки, але й сотні повідомлень у месенджерах, на пошті та у соцмережах з пропозиціями про допомогу.  

Ваша згуртовність у боротьбі проти ворога вкотре вражає! Тому зараз ми вирішили зібрати не тільки Армію дронів, але й Армію талантів для підсилення проєкту. 

Якщо ви теж хочете допомагати нашим захисникам, надсилайте ваші круті ідеї та пропозиції щодо Армії дронів:

▪️про розробку безпілотників
▪️ремонт дронів
▪️навчання пілотів

Пошта — army.drones@u24.gov.ua.

Усі листи розглянемо разом з Генштабом ЗСУ. 

А ще допомогти нам підсилити технологічний фронт ЗСУ, звісно, можна вашими донатами на UNITED24."
855,"«Носять символіку Z і вішають прапори рф», — текст однієї із заявок, яку ми отримали в чатбот єВорог. 

Українці розповідають про сусідів, які співпрацюють з окупантами, відвідують їхні заходи, закликають переходити на бік росії та «зливають» інформацію про патріотично налаштованих людей. 
 
Поки більшість українців згуртовано роблять все можливе для нашої перемоги, зрадники підтримують ворога.  
 
Якщо ви знаєте колаборантів особисто чи стали свідками їхньої співпраці з окупантами, повідомляйте в чатбот Мінцифри єВорог.  
 
Як визначити колаборантів?
 
▪️воюють на боці держави-агресора; 
▪️допомагають окупантам в організації управління та поліції; 
▪️закликають переходити на бік росії; 
▪️організовують вибори на тимчасово окупованих територіях; 
▪️заперечують збройну агресію рф.  
 
Не забувайте про власну безпеку, коли передаєте інформацію в єВорог. Видаляйте всі записи, фото, відео та листування в чатботі."
856,"Разом з Генштабом ЗСУ та UNITED24 збираємо Армію дронів       
   
На етапі підготовки проєкту ми провели спільну роботу з Генштабом та захисниками, щоб зрозуміти їхні запити та потреби на передовій.      
   
За результатами зустрічей разом ми сформували системне бачення, щоб всю лінію фронту шириною близько 2470 км закрити дронами. Вони дозволять моніторити дії ворога, змінювати військові стратегії і в подальшому зберегти якомога більше життів військових. У цьому їм допоможе технологічна Армія дронів.     
   
З військовими та партнерами ми тестували різні дрони, зібрали фідбек й сформували системний підхід до забезпечення розвідників всім необхідним.    
   
На першому етапі ми плануємо закупити 200 безпілотників, які можуть літати до 24 годин на відстань 160 км і при цьому залишатися майже непомітними для ворога. А отже, їх ще складніше збити.     
   
Допомогти ЗСУ і долучитися до збору можна з будь-якого куточка світу й внести свій донейт у два кліки через платформу UNITED24. Або задонатити нам власний дрон.     
   
Комплексна програма з UNITED24 дозволить нам не тільки закуповувати дрони, а й ремонтувати їх, оперативно замінювати, а також проводити навчання пілотів.     
   
До ініціативи першим долучився Олег Гороховський та Монобанк. Разом зі своїми клієнтами всього за декілька днів вони зібрали понад 64 млн гривень. А це вже два безпілотних авіаційних комплекси Warmate!     
   
Кожного дня українці доводять: для нас немає нічого неможливого. Разом підтримаємо і посилимо нашу армію!"
857,"АНОНС!

""Росэлторг"" (найбільший тендений майданчик рф, який належить уряду москви та банку втб) виявився дірявим і під шумок ддос атаки з нього витікли конфеденційні дані з пів мільйона коритсувачів. Скоро на спеціалізованих форумах та тг каналах буде архівчик.

—

Announcement!

Roseltorg the biggest bidding platform in russia owned by the government and VTB exploited. This DDoS attack was nothing more than a cover up. Our main goal was leaking of half a million private data. Can't wait to see it published."
858,"Спочатку російська техніка потрапляє в об'єктиви камер народної розвідки, а потім — до рук ЗСУ.    
    
З перших днів війни сміливі українці знімають чи пишуть про окупантів та колаборантів в єВорог. Щодня нашій команді надходять нові заявки, а кількість українців, які використовують чатбот, уже перевищила 323 тисячі.   
    
Зараз дуже важливо залишатися активними й ділитися з нашими захисниками інформацією, яка може їм знадобитися. Тож якщо ви перебуваєте на тимчасово окупованих територіях, бачите ворожу техніку, повідомляйте в чатбот від Мінцифри — єВорог.     
    
За можливості діліться фото чи відео або ж надсилайте заяву просто текстом про:    
    
▪️скупчення та переміщення колон ворожої техніки;    
▪️бензовози;    
▪️транспортування техніки залізницею;    
▪️склади з боєприпасами;    
▪️радіолокаційні станції;    
▪️позиції артилерії;    
▪️польові аеродроми для гвинтокрилів.    
    
Під час зйомки впевніться, що залишаєтесь непоміченими для ворога, а вашому життю нічого не загрожує. Будьте обережні і діліться нашим чатботом з друзями."
859,
860,"Сьогодні модерував паблік-ток з мільярдером Річардом Бренсоном.

Одним із найвідоміших світових підприємців, книги якого особисто мене надихали та мотивували в бізнесі.  

Бренсон ще до початку повномасштабного вторгнення відкрито підтримав нас. А зараз приїхав особисто в Київ. Побував у Бучі, Ірпені, Гостомелі та побачив на власні очі, що з собою несе росія. 

На зустрічі з українським бізнесом ми говорили про післявоєнне відновлення країни, його бачення майбутнього України та роль сміливих українських підприємців. 

Бренсон захоплений українським народом та нашою силою боронити весь демократичний світ. Він готовий зробити все, що в його силах, щоб допомогти нам перемогти в цій війні за майбутнє світу. 

Запитав його, якою має бути велика ідея, надихаюча мрія, що могла б об'єднати українців після перемоги. А також якою може бути наша конкурентна перевага в Європі та світі. 

Дякую нашому сміливому народу. Саме завдяки вам Україну підтримують такі люди. Дякую Президенту Володимиру Зеленському та команді Офісу Президента за цікавий формат та можливість познайомити Річарда з нашими крутими підприємцями."
861,"Запускаємо проєкт IT Generation. Це можливість для людей здобути спеціальність в IT, які раніше ніколи не працювали в цій галузі.

Незабаром ми зможемо безоплатно навчити 1000 українців IT-спеціальностей. А через деякий час — ще 2000. Проте кінцева мета — допомогти десяткам тисяч українців увійти до IT.

Це лише перший етап й абсолютно новий підхід до взаємодії між потенційними студентами, державою та освітніми компаніями. Важливо, що не держава буде навчати IT, а саме компанії, які цим професійно займаються та мають класні кейси з навчання світчерів.

Наша ціль — збільшити частку IT у ВВП країни до 10%, яка до повномасштабного вторгнення сягала максимум 5%. Попри війну, наш IT сектор продовжує зростати.

Майбутнє за технологічними компаніями та цифровою економікою. Чим більше людей зараз увійдуть до IT, тим швидше ми зможемо зміцнити нашу економіку.

Проєкт IT Generation реалізовуємо спільно із Binance та Львівським IT Кластером за підтримки USAID CEP та ПРООН."
